Title,Start Date,End Date,Description,Venue,Address,City,Postal Code,Country,Organizer,Website,Categories,Image URL,Source URL
Charlie & Stylien,2024-03-08T00:00:00+02:00,N/A,Découvrez la « comédie musicale différente » de Charlie & Stylien : LA LA MOUR !,Petit Kursaal,2 Place du Théâtre,Besançon,25000,France,NG productions,https://ngproductions.fr/spectacle/charlie-stylien/65df4149efcd9/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/03/CHARLIEETSTYLIEN-AFFICHESITE.jpg,https://sortir.besancon.fr/evenement/charlie-stylien/
Issa Doumbia,2024-03-12T00:00:00+02:00,N/A,"Des histoires drôles et touchantes sur sa perte de poids jusqu’aux péripéties les plus folles de sa carrière, Issa Doumbia se livre sur ses succès, ses peines et ses amours pour la première fois dans ce ciné-spectacle qui transcende les frontières du one-man-show traditionnel.",Grand Kursaal,2 Place du Théâtre,Besançon,25000,France,NG productions,https://ngproductions.fr/spectacle/lisa-perrio/65cc7de7d1be9/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/03/doumbia-site.jpg,https://sortir.besancon.fr/evenement/issa-doumbia/
Pierre Thevenoux,2024-03-20T00:00:00+02:00,N/A,"Après être passé par le Jamel Comedy Club et s’être rodé sur les scènes parisiennes, Pierre vous propose 1 heure 20 de stand-up grinçant et efficace.",Grand Kursaal,2 Place du Théâtre,Besançon,25000,France,NG productions,https://ngproductions.fr/spectacle/pierre-thevenoux/65df1239eeb05/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/03/thevenoux-site.jpg,https://sortir.besancon.fr/evenement/pierre-thevenoux/
Blandine Lehout (humour),2024-03-28T00:00:00+02:00,N/A,"Blandine, c’est un peu la pote qu’on aimerait avoir dans sa bande…du moins c’est ce qu’elle pense !",Petit Kursaal,2 Place du Théâtre,Besançon,25000,France,NG productions,https://ngproductions.fr/spectacle/blandine-lehout/6560e498baf82/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/01/Template-Affiche-Siteweb-BlandineLehout.jpg,https://sortir.besancon.fr/evenement/blandine-lehout-humour-2/
Le soldat rose,2024-03-29T00:00:00+02:00,N/A,"A l’occasion de ses 15 ans, Le Soldat Rose fait son grand retour sur scène dans une nouvelle mise en scène exceptionnelle en tournée dans toute la France.",Micropolis,3 Boulevard Ouest,Besançon,25000,France,NG productions,https://ngproductions.fr/spectacle/le-soldat-rose/65ddbeec62181/,"Jeune Public, Spectacle",https://sortir.besancon.fr/wp-content/uploads/2024/03/lesoldatrose-siteweb.jpg,https://sortir.besancon.fr/evenement/le-soldat-rose/
Caroline Vigneaux,2024-04-03T00:00:00+02:00,N/A,"Caroline est à la moitié de sa vie, pile entre les jeunes et les vieux : elle a un compte TikTok mais elle paie quelqu’un pour poster, parce qu’elle comprend rien!",Grand Kursaal,2 Place du Théâtre,Besançon,25000,France,NG productions,https://ngproductions.fr/spectacle/caroline-vigneaux/65a14b25aee92/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/01/Template-Affiche-Siteweb-CarolineVigneaux.jpg,https://sortir.besancon.fr/evenement/caroline-vigneaux/
Felix Dhjan (humour),2024-04-04T00:00:00+02:00,N/A,"Dans ce spectacle, Félix Dhjan se joue du monde moderne avec un style très singulier. Pensionnaire du Jamel Comedy Club sur Canal+, chroniqueur sur Rire et Chansons avec son personnage  » Monsieur Connard « , Félix débarque au Point Virgule avec un spectacle authentique, cru et hilarant.",Petit Kursaal,2 Place du Théâtre,Besançon,25000,France,NG productions,https://ngproductions.fr/spectacle/felix-dhjan/654bac15cdab6/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2023/05/Affiche-SiteFDB_FelixDhjan-770x1020-1-e1685438758947.jpg,https://sortir.besancon.fr/evenement/felix-dhjan-humour-2/
Gad Elmaleh,2024-04-10T00:00:00+02:00,N/A,Gad sera en tournée en 2024 et 2025 avec son nouveau spectacle « Lui-même »,Micropolis,3 Boulevard Ouest,Besançon,25000,France,NG productions,https://ngproductions.fr/spectacle/gad-elmaleh/65dda651f0128/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/03/Gad-elmaleh-siteweb.jpg,https://sortir.besancon.fr/evenement/gad-elmaleh/
Liane Foly,2024-04-12T00:00:00+02:00,N/A,"Liane FOLY fête ses 35 ans de Carriere, dans un seule en scène époustouflant où se mêlent comédie, humour et imitations.",Petit Kursaal,2 Place du Théâtre,Besançon,25000,France,NG productions,https://ngproductions.fr/spectacle/liane-foly/6529536b29a76/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2023/11/Template-Affiche-Siteweb-LianeFoly.jpg,https://sortir.besancon.fr/evenement/liane-foly/
Franjo (humour),2024-10-24T00:00:00+02:00,N/A,"Il vous a sûrement fait rire sur internet, vous allez rire au moins 20 fois plus si vous venez voir son spectacle !",Petit Kursaal,2 Place du Théâtre,Besançon,25000,France,NG productions,https://ngproductions.fr/spectacle/franjo/65b8b60e7b721/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2023/08/Template-Affiche-Siteweb-Franjo.jpg,https://sortir.besancon.fr/evenement/franjo-humour/
